iter	Logloss
0	0.6639378681
1	0.6379175951
2	0.6142882634
3	0.593870046
4	0.575418103
5	0.5586797311
6	0.5425553907
7	0.5293787644
8	0.5155045228
9	0.5043998309
10	0.4934589773
11	0.4829426595
12	0.4739119896
13	0.4644662925
14	0.4572900895
15	0.4494847107
16	0.4416031965
17	0.434572334
18	0.4284619862
19	0.4223619061
20	0.417102098
21	0.4120216945
22	0.4072721456
23	0.4019647039
24	0.3975617328
25	0.3932954859
26	0.3894469054
27	0.3851577078
28	0.3818843146
29	0.3785603834
30	0.3751272707
31	0.3719205494
32	0.3688655406
33	0.3655789927
34	0.3629899316
35	0.3603362729
36	0.3581726407
37	0.3556424205
38	0.3532633941
39	0.3510126538
40	0.348649256
41	0.3468005751
42	0.3448277091
43	0.3426351099
44	0.340548609
45	0.3382740848
46	0.3362449818
47	0.3341866383
48	0.3326471537
49	0.3310056168
50	0.3296438302
51	0.3280060423
52	0.3265097913
53	0.3252020933
54	0.3237614134
55	0.3224681641
56	0.3208201431
57	0.3195414883
58	0.3184224722
59	0.3170459728
60	0.3158994481
61	0.3148100198
62	0.3133747103
63	0.3120301561
64	0.3108631253
65	0.3097874479
66	0.3086859584
67	0.3074216256
68	0.3062885359
69	0.3053399096
70	0.3042844025
71	0.3034328351
72	0.3024180061
73	0.3015679743
74	0.3007107256
75	0.2998973285
76	0.299060488
77	0.2981569099
78	0.297267299
79	0.2962685588
80	0.2955103094
81	0.2949699334
82	0.2940249516
83	0.2933611191
84	0.2927055899
85	0.2918572071
86	0.2910553399
87	0.290379379
88	0.2896652784
89	0.2891881485
90	0.2885331621
91	0.2880184289
92	0.2873900335
93	0.2868619924
94	0.2862936431
95	0.2858661733
96	0.285275704
97	0.2846872184
98	0.2843617393
99	0.2839375569
100	0.2833059148
101	0.2826872948
102	0.2822233304
103	0.2816542455
104	0.2811046655
105	0.2804618452
106	0.2801387476
107	0.2796831433
108	0.2791872416
109	0.2787925502
110	0.2782396968
111	0.2777821116
112	0.2771411811
113	0.2768673063
114	0.2765317665
115	0.2762325829
116	0.275819815
117	0.2751471762
118	0.2747346824
119	0.2742680237
120	0.2739182273
