iter	Passed	Remaining
0	98	49308
1	144	36077
2	187	31054
3	230	28597
4	273	27080
5	315	25997
6	360	25377
7	407	25034
8	450	24554
9	493	24164
10	536	23847
11	579	23584
12	623	23351
13	666	23136
14	711	22998
15	758	22935
16	801	22779
17	846	22654
18	889	22529
19	933	22402
20	975	22242
21	1016	22095
22	1058	21957
23	1101	21842
24	1144	21745
25	1189	21682
26	1231	21578
27	1275	21496
28	1318	21406
29	1360	21309
30	1402	21211
31	1445	21145
32	1490	21099
33	1533	21012
34	1575	20931
35	1618	20862
36	1660	20779
37	1703	20705
38	1745	20633
39	1787	20558
40	1830	20487
41	1871	20407
42	1913	20336
43	1957	20287
44	2002	20249
45	2045	20193
46	2087	20119
47	2129	20050
48	2172	19998
49	2216	19944
50	2259	19891
51	2301	19826
52	2343	19767
53	2386	19710
54	2428	19645
55	2471	19593
56	2515	19547
57	2561	19520
58	2605	19472
59	2654	19468
60	2696	19408
61	2738	19345
62	2783	19309
63	2827	19264
64	2870	19211
65	2912	19154
66	2955	19100
67	2997	19045
68	3040	18989
69	3083	18939
70	3130	18916
71	3174	18871
72	3217	18817
73	3261	18773
74	3304	18723
75	3346	18671
76	3389	18618
77	3431	18563
78	3473	18510
79	3515	18458
80	3558	18406
81	3600	18356
82	3645	18317
83	3689	18270
84	3732	18222
85	3775	18172
86	3817	18122
87	3861	18076
88	3903	18027
89	3947	17982
90	3990	17933
91	4033	17886
92	4075	17837
93	4119	17793
94	4162	17745
95	4209	17715
96	4253	17669
97	4296	17624
98	4339	17577
99	4382	17530
100	4425	17481
101	4467	17433
102	4510	17384
103	4555	17345
104	4597	17296
105	4640	17248
106	4682	17200
107	4728	17162
108	4779	17145
109	4828	17119
110	4873	17079
111	4916	17031
112	4959	16984
113	5001	16935
114	5045	16893
115	5088	16845
116	5130	16795
117	5174	16752
118	5218	16706
119	5262	16664
120	5309	16629
121	5352	16585
122	5395	16537
123	5439	16492
124	5480	16442
125	5523	16396
126	5568	16353
127	5611	16309
128	5655	16264
129	5698	16219
130	5741	16172
131	5783	16124
132	5827	16079
133	5875	16048
134	5921	16008
135	5965	15966
136	6008	15919
137	6052	15875
138	6094	15828
139	6138	15784
140	6182	15742
141	6225	15694
142	6269	15650
143	6313	15609
144	6357	15564
145	6404	15527
146	6448	15485
147	6491	15439
148	6534	15393
149	6577	15346
150	6619	15300
151	6664	15258
152	6707	15212
153	6749	15165
154	6792	15119
155	6837	15076
156	6877	15025
157	6923	14986
158	6971	14951
159	7014	14904
160	7057	14860
161	7100	14814
162	7143	14769
163	7187	14725
164	7231	14681
165	7274	14636
166	7317	14591
167	7359	14544
168	7403	14500
169	7448	14457
170	7495	14421
171	7546	14390
172	7588	14344
173	7631	14297
174	7674	14251
175	7715	14203
176	7758	14158
177	7801	14111
178	7842	14064
179	7887	14021
180	7933	13982
181	7975	13935
182	8024	13899
183	8070	13859
184	8113	13814
185	8158	13772
186	8202	13729
187	8245	13684
188	8290	13641
189	8331	13594
190	8376	13551
191	8420	13508
192	8463	13463
193	8506	13418
194	8549	13372
195	8595	13332
196	8642	13293
197	8690	13255
198	8733	13209
199	8777	13166
200	8821	13122
201	8865	13078
202	8909	13035
203	8953	12991
204	8997	12947
205	9041	12903
206	9083	12857
207	9130	12817
208	9176	12777
209	9221	12733
210	9263	12688
211	9306	12643
212	9349	12597
213	9392	12552
214	9433	12505
215	9475	12458
216	9517	12411
217	9559	12366
218	9602	12320
219	9645	12276
220	9690	12234
221	9736	12192
222	9788	12158
223	9834	12117
224	9877	12072
225	9921	12028
226	9965	11985
227	10009	11940
228	10052	11895
229	10095	11851
230	10139	11807
231	10181	11761
232	10225	11717
233	10274	11679
234	10319	11636
235	10362	11591
236	10405	11547
237	10448	11502
238	10491	11457
239	10534	11412
240	10578	11368
241	10621	11323
242	10665	11279
243	10706	11233
244	10752	11191
245	10798	11149
246	10843	11107
247	10887	11063
248	10930	11018
249	10973	10973
250	11015	10928
251	11058	10882
252	11102	10838
253	11145	10794
254	11189	10750
255	11229	10702
256	11271	10657
257	11314	10613
258	11369	10579
259	11413	10535
260	11458	10493
261	11501	10447
262	11543	10402
263	11587	10358
264	11630	10313
265	11673	10269
266	11716	10224
267	11760	10180
268	11802	10135
269	11845	10090
270	11889	10046
271	11935	10005
272	11978	9960
273	12021	9915
274	12066	9872
275	12109	9827
276	12152	9783
277	12195	9738
278	12239	9694
279	12277	9646
280	12320	9601
281	12362	9556
282	12405	9512
283	12452	9470
284	12498	9428
285	12542	9384
286	12585	9340
287	12628	9296
288	12670	9251
289	12716	9208
290	12760	9164
291	12803	9120
292	12847	9076
293	12894	9034
294	12938	8991
295	12981	8946
296	13030	8906
297	13075	8862
298	13118	8818
299	13160	8773
300	13202	8728
301	13245	8684
302	13288	8639
303	13331	8595
304	13374	8550
305	13416	8506
306	13458	8461
307	13499	8415
308	13543	8371
309	13589	8328
310	13631	8284
311	13676	8241
312	13720	8197
313	13764	8153
314	13807	8108
315	13850	8064
316	13894	8021
317	13936	7976
318	13978	7931
319	14021	7886
320	14063	7842
321	14108	7799
322	14154	7756
323	14197	7712
324	14240	7667
325	14281	7622
326	14324	7578
327	14365	7533
328	14407	7488
329	14449	7443
330	14492	7399
331	14535	7355
332	14578	7311
333	14621	7267
334	14665	7223
335	14708	7179
336	14751	7134
337	14794	7090
338	14837	7046
339	14879	7002
340	14924	6959
341	14968	6915
342	15012	6871
343	15056	6828
344	15098	6783
345	15142	6739
346	15188	6696
347	15237	6655
348	15287	6614
349	15331	6570
350	15375	6526
351	15418	6482
352	15463	6439
353	15505	6395
354	15547	6350
355	15590	6306
356	15634	6262
357	15677	6218
358	15720	6174
359	15765	6131
360	15808	6087
361	15852	6043
362	15895	5998
363	15938	5955
364	15981	5910
365	16025	5867
366	16068	5823
367	16111	5779
368	16155	5735
369	16206	5694
370	16253	5651
371	16300	5608
372	16346	5565
373	16390	5521
374	16432	5477
375	16474	5433
376	16517	5388
377	16561	5345
378	16604	5301
379	16647	5257
380	16689	5212
381	16731	5168
382	16774	5124
383	16817	5080
384	16867	5038
385	16912	4994
386	16959	4951
387	17011	4910
388	17053	4866
389	17095	4821
390	17138	4777
391	17181	4733
392	17223	4689
393	17265	4645
394	17307	4600
395	17352	4557
396	17396	4513
397	17443	4470
398	17484	4425
399	17527	4381
400	17569	4337
401	17613	4293
402	17657	4250
403	17700	4206
404	17751	4163
405	17793	4119
406	17835	4075
407	17878	4031
408	17924	3988
409	17969	3944
410	18012	3900
411	18056	3856
412	18099	3812
413	18142	3768
414	18192	3726
415	18235	3682
416	18279	3638
417	18321	3594
418	18365	3550
419	18408	3506
420	18449	3462
421	18497	3419
422	18545	3375
423	18588	3331
424	18635	3288
425	18682	3245
426	18725	3201
427	18766	3157
428	18810	3113
429	18852	3069
430	18894	3024
431	18944	2982
432	18989	2938
433	19032	2894
434	19077	2850
435	19119	2806
436	19162	2762
437	19206	2718
438	19250	2674
439	19293	2630
440	19336	2587
441	19379	2542
442	19422	2499
443	19465	2455
444	19508	2411
445	19552	2367
446	19600	2323
447	19646	2280
448	19688	2236
449	19731	2192
450	19774	2148
451	19816	2104
452	19859	2060
453	19902	2016
454	19944	1972
455	19987	1928
456	20028	1884
457	20071	1840
458	20115	1796
459	20161	1753
460	20205	1709
461	20250	1665
462	20294	1621
463	20338	1577
464	20382	1534
465	20424	1490
466	20467	1446
467	20509	1402
468	20552	1358
469	20595	1314
470	20638	1270
471	20683	1226
472	20728	1183
473	20770	1139
474	20814	1095
475	20858	1051
476	20900	1007
477	20942	963
478	20991	920
479	21034	876
480	21078	832
481	21121	788
482	21163	744
483	21207	701
484	21255	657
485	21298	613
486	21341	569
487	21385	525
488	21427	482
489	21470	438
490	21513	394
491	21556	350
492	21599	306
493	21643	262
494	21688	219
495	21731	175
496	21775	131
497	21820	87
498	21864	43
499	21906	0
